RecordedDate,ResponseId,RecipientLastName,UserLanguage,Q4,Q4_3_TEXT,Q4R,Q5,Q6,Q6_7_TEXT,Q6R,Q7,Q7_8_TEXT,Q7R,Q8,Q8_9_TEXT,Q8GER,Q54,Q54_11_TEXT,Q8ALLR,UNILOC,CODLOC,Q9,Q9_4_TEXT,Q9R,Q10,Q10_13_TEXT,Q10R,Q11_1,Q12_1,MIDTOT,,,Q24
Recorded Date,Response ID,Recipient Last Name,User Language,Please select or enter the country in which you live: - Selected Choice,"Please select or enter the country in which you live: - Other, please specify: - Text",Q4 and Q4 Text recoded to numbers corresponding to country.,Please enter your age in years:,Please select the gender with which you most identify: - Selected Choice,Please select the gender with which you most identify: - Self-Identify: - Text,,Please select the sexual orientation with which you most identify: - Selected Choice,Please select the sexual orientation with which you most identify: - Self-Identify: - Text,,Please select the race(s) with which you most identify (you may make multiple selections): - Selected Choice,Please select the race(s) with which you most identify (you may make multiple selections): - Self-Identify: - Text,,,,,,,"Please select the ethnicity/ethnicities with which you most identify (you may make multiple selections). A few, limited examples are listed below. Please be sure to self-identify if this list does not apply to you. - Selected Choice","Please select the ethnicity/ethnicities with which you most identify (you may make multiple selections). A few, limited examples are listed below. Please be sure to self-identify if this list does not apply to you. - Self-Identify: - Text",,Which of the following do you identify with (you may make multiple selections)? I am: - Selected Choice,Which of the following do you identify with (you may make multiple selections)? I am: - Self-Identify: - Text,,"What is your quality of life? - Please select a number from

1 (lowest) to

7 (highest).","What is your access to resources (e.g., a doctor, a therapist, transportation, finances/income)? - Please select a number from

1 (lowest) to

7 (highest).",,,,"Please write any reflections or thoughts about your
geographic location and/or identities below. For example, how does your
location impact you (your safety, health, relationships, etc.)?"
43742.76181,R_1qUlFxkfNSfYkMK,,EN,1,,1,18,2,,2,6,,6,5,,,,,5,USA,1,4,american,6,13,none of the above,14,6,7,1,0id,287,I don't have any.
43742.91667,R_33wfoLnY4RFlVoX,,EN,1,,1,19,2,,2,4,,4,5,,,,,5,USA,1,4,european,13,9,,9,4,6,1,1id,448,"My location did slightly make me worried for my safety, but it never made me worried for my health or anything else. I was raised in a pretty conservative family, but my location was filled with quite a bit of diversity and I think that helped to shape me into a more well-rounded person. "
43743.71875,R_3ssH2JlxPJoJ8kj,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,"2,4",Scottish,5,3,,3,4,6,1,2id,469,"my location does not have a large affect on me for identification. However, being far away from loved ones in a home town sometimes takes a toll on my emotions."
43743.72847,R_3pmZN1RKza1D0qv,,EN,1,,1,18,2,,2,1,,1,2,,,,,2,USA,1,4,Black,17,3,,3,6,7,3,3id,255,My location is rather safe. There is minimal criminal activity. 
43744.01458,R_1JOufmMVNwNU95U,,EN,1,,1,18,2,,2,6,,6,2,,,,,2,USA,1,4,African/Black,17,5,,5,5,6,3,4id,125,My location makes me feel safe and feel like I have resources every where. If there is something that I need then all I have to do it ask or figure something out. My health is good and all my friendship are pretty great. My relationship with my family is still strong even though I'm not with them.
43744.02569,R_2QgEoxq1D9aynEw,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,4,N/A,18,"5,6",,"5,6",6,7,2,5id,80,I come from a small town so things are always close knit.
43744.68264,R_1C2rRQ2ycLzAnu4,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,3,,3,13,short,15,7,7,1,7id,23,"I feel like I live in a healthy environment, that encourages growth and offers new opportunities.I am a healthy person and I have good relationships."
43744.93889,R_1N9tBoWrlY4frEz,,EN,1,,1,18,2,,2,4,,4,2,,,,,2,USA,1,4,Black ,17,3,,3,5,5,2,9id,2,I have access to a lot of resources that a very close by
43745.65833,R_22CYjWRvlFWzcvz,,EN,1,,1,18,2,,2,1,,1,5,,,,,5,USA,1,4,Does not apply,18,6,,6,4,6,2,10id,1,I think that my location heavily influenced my answers.
43746.49653,R_3TMnShu3hIpmjNn,,EN,1,,1,18,2,,2,4,,4,2,,,,,2,USA,1,4,black,17,3,,3,6,7,2,,,It is really easy to connect with resources and people from where i live.
43746.70625,R_3J8cgJzTAtvjNGE,,EN,1,,1,18,2,,2,1,,1,5,,,,,5,USA,1,2,,2,3,,3,6,5,2,,,"Since I live on campus, I have a large variety of resources that I am about to take advantage of. Additionally, I live in close quarters with many people, so I am always able to reach out."
43747.70833,R_2wa8RoU2flrfVS0,,EN,1,,1,18,1,,1,1,,1,5,,,,,5,USA,1,4,White,20,13,None,14,6,6,1,,,"The bridges just west of the towers seem like a hazard to students. There have been numerous reports of broken body parts caused solely by those bridges. Sure human error might have something to do with it, though the grade of the bridges does not help. Thanks for asking. Stay safe around those bridges."
43748.53542,R_1HksGwbOqLU6Je5,,EN,1,,1,19,2,,2,4,,4,5,,,,,5,USA,1,"2,3",,5,6,,6,5,6,1,,,I am very far from my family and it sometimes gets really hard knowing I can't see them.
43748.74236,R_3HMk0gv6wvSBYYJ,,EN,1,,1,22,1,,1,4,,4,5,,,,,5,USA,1,3,,3,3,,3,6,5,1,,,Helps me continue my friendships and helps me build new ones.
43748.74514,R_3ilsMHl3cZVoyB0,,EN,1,,1,22,1,,1,4,,4,5,,,,,5,USA,1,3,,3,3,,3,6,6,1,,,helps me keep my friendships and allows me to build new ones.
43751.63819,R_3fDksuP0XJsPa80,,EN,1,,1,18,7,As there is only two genders I am a man,1,4,,4,5,,,,,5,USA,1,2,,2,3,,3,5,6,1,,,Location can determine safety because some places are sketchy.
43751.64722,R_0rcrlJr4ZbXRmlb,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,3,,3,6,6,1,,,
