ref,coverage,content
1,3.99%,My community was very small but very close. Everyone always looked out for others.
2,5.48%,Being from one of the biggest cities in the country I have lots of people who i can pick and choose who to talk to
03-Apr,6.92%,"zero_R_ONySn59ylr7GCnT : My location does not really influence me, I have moved many times and adapt to wherever I am. My family is my home"
05-Jun,9.95%,zero_R_1QhnLetYE70bETh : The location in which I live has low crime so I feel safe most of the time. My parents are divorced but my home life is good. My family provides me with all I could possibly need.
7,2.11%,I was raised in a pretty conservative family
8,8.99%,"all_R_3ssH2JlxPJoJ8kj : my location does not have a large affect on me for identification. However, being far away from loved ones in a home town sometimes takes a toll on my emotions."
9,1.63%,all my friendship are pretty great
10,3.70%,My relationship with my family is still strong even though I'm not with them.
1,0.52%,"all_R_2CTjdiePthGM0pv : I live in a small town and graduated high school having known a majority of the class since Kindergarten. We are financially inbetween poor and middle class. I'm the youngest so my parents are older, so we're not really friends and they can rarely hear me. Decent neighborhood, generally quiet. Only like 2 out of 6 neighbors. Like 1/6 mile from a corn/soybean field. Like 1 mile from the lake."
2,0.50%,"all_R_xooQaJHYvYVE8Mx : Because I live in Canada, specifically Ontario, I have been able to access mental health services such as psychiatry, group cognitive behavioral therapy, and medication without incurring significant financial costs. I live in my parents' home, and their presence and support has been undoubtedly helpful in managing the symptoms of depression, from both materially and emotionally."
3,0.33%,"all_R_1LHWeiPtPedfu8N : When I am around people I love, i tend to forget anything that makes me anxious. Usually occurs at schools. The people I love, that make me feel most at ease are my friends, however, recently, i have felt more alone since the virus outbreak."
4,0.28%,"all_R_3kHAYQ2HOsPUBLf : With the internet, geographical location is less of an issue than it was before, there are more resources but there is still the isolation that doesn't matter if you live in a big city or a small town."
5,0.49%,"all_R_1myBrqy01C7KSEm : Living in a harder part of Toronto, it has really strengthened me to be more emotionally stable and handle hardships and pressure with much more ease. A lot of the friends I have made have been friends of mine for 16 years of my life, we know our friendship is worth a lot in each other lives. Even through hardships, everyone in our family remains close to each other."
6,0.20%,all_R_BL1v6fns1lOoWeB : My location gives me a sense of security on things such as health and relationships. I also feel safe in my location most of the time.
7,0.08%,all_R_3KxtxqalFA69lme : My health and relationships are stable.
8,0.35%,all_R_2Y2G6pKVfIE4V95 : My location works perfectly for me in regards to almost all aspects of my life. I have all my friends close by as well as everything I need to stay healthy and happy. The one problem is my distance from school. It is a two hour commute by subway and bus.
9,0.20%,"all_R_31Qpw05tcAZ7KA6 : The part of Toronto that I live in I feel takes care of my social needs adequately, but not as well as some other parts of the city."
10,0.23%,"all_R_2zZShE6rckpFNQ7 : Due to my location, being in a great country allows my safety and health to be of good quality and my relationships to be stable without having any fear of anyone"
11,0.30%,"all_R_vi6KYm6qbv9W8Qp : My location is a very safe place to be in, everyone knows everyone here, and it is very environmentally friendly. Relationship wise everyone is kind to one another and is protective and respectful towards each other."
12,0.19%,"all_R_2rCMgLH23Lg23Lq : I live in a pretty good area so my sense of safety is ensured, as well as my health and my relationship with those around me."
13,0.20%,"all_R_3MQYsljE6efyxOV : As an immigrant, I sometimes feel there is no help by things around me but living with my family keeps me being healthy and stable."
14,0.14%,all_R_1DCrm2JyNUEC9xh : I lived in a peaceful place and my family create a good growing environment for me.
15,0.29%,"all_R_1OK0hjgBwZiBmKl : My location has really helped me live my life to the fullest with lots of freedom and opportunities. I am thankful to have a shelter, family access to health care and a right to education all due to my location."
16,0.54%,"all_R_2ScTZqcYBd66KdC : I believe my geographic location has some influence on my life. Sometimes I may go on bike rides or go on walks with my friends at the beach to talk and relax. More than the location, the people who live near me are critical to my life. Many of my friends live close to me. Knowing I have many friends close to me makes me feel as if I have someone to rely on thats emotionally and geographically close to me."
17,0.67%,"all_R_2fdPxB1am3jc8uc : My location and access to different nearby services definitely give me a stronger feeling of security and safety and improves my health because I am typically very grateful, blessed, and satisfied with how my life has been up till now. Furthermore, I have access to numerous friends and relatives nearby which puts me in a very affectionate and caring environment. Altogether, my geographic location definitely increases how much my opinions and dreams are supported and increases the overall quality of my life."
18 - 19,0.49%,"all_R_bwQMMUQMOCVBUe5 : The area where I reside in is filled with many resources available to me. I have a good and happy relationship with my family as I can talk to them about anything. There are good schools near me with proper resources to achieve my goals. I also have goos support from my friends who also live near me. There is very little violence where I live in, it is a safe community."
20 - 22,0.85%,"all_R_Rtu4enND4f6KTND : Living in an area easily accessible to everything such as entertainment, shopping centres, and friends who all live in the same area and within walking distance has a great impact on my personal health. Having access to these institutions make it much easier to talk to, interact and have fun with others. In terms of relationships, with most of my friends and family being nearby, it is easy to hold relationships and access them when needed. In terms of safety, living in area that has had violence and criminal activty does have a negative effect on an individual, but putting that aside many neighbours and friends make it less evident and are welcoming."
23,0.10%,My school is very close to home which makes it convenient to see my friends often
