ref,coverage,content
1,4.47%,"However, being far away from loved ones in a home town sometimes takes a toll on my emotions."
1,0.10%,all_R_bpDGWi0Q7QYx4CR : Seattle freeze doesn't help my social difficulties
2,0.25%,"all_R_1hYZIo8NApd46fm : Living on Bainbridge Island helps me in terms of having a safe, beautiful place to live. I recently moved here and have no friends, which has been a burden on my mental health."
3,0.65%,"all_R_2xVRkkm8EMNghKy : I live in an academic environment where the focus is almost always on education. This it's difficult to cultivate strong interpersonal relationships, but not impossible. With regard to mental health, it's also difficult to physically find a confidant. There are hardly any professional psychiatrists around, and the greater population here knows little or nothing about mental health. There are thieves and robbers, but of course I try to avoid trouble by staying safe and ensuring my security."
4,0.10%,all_R_2Eiu67uo6BNib2m : I think it gives a wrong image about me. less friends
5,0.32%,"all_R_2awvnOf8v6BLbqg : I'm sort of in the middle of a corn field, so traveling anywhere to see friends or family is a pain. Driving to practice or to the store can take half an hour or more at times. I prefer it to living in a crowded city or suburb though."
06-Jul,0.26%,"all_R_1jqt8ThJnHtBQWW : I feel very isolated. I am so far away from my family, so I rarely am hugged or kissed by loved ones. I cannot find a PCP, so I worry about my health all the time. I am very lonely."
8,0.10%,all_R_2OGvyjjS8A5JsYB : I feel lonelier in the winter as I tend hibernate.
9,0.28%,"all_R_3kHAYQ2HOsPUBLf : With the internet, geographical location is less of an issue than it was before, there are more resources but there is still the isolation that doesn't matter if you live in a big city or a small town."
10,0.25%,"all_R_27D1YniMLuvFi2d : I live in a pretty small town compared to the larger cities such as Toronto, a place where everyone knows everyone. Sometimes people judge you a lot in these types of places."
11,0.35%,all_R_2Y2G6pKVfIE4V95 : My location works perfectly for me in regards to almost all aspects of my life. I have all my friends close by as well as everything I need to stay healthy and happy. The one problem is my distance from school. It is a two hour commute by subway and bus.
12,0.27%,"all_R_3snSBIzQubGNeJQ : I think it is more of the people in the location that impacts me because even if they have norms and cultural things they believe in, it is still up to the morality of the person to judge someone"
13,0.14%,"all_R_2pVOr2u8GK8c37S : My location has access to health care, safety and you can build relationships here."
