ref,coverage,content
1,0.32%,all_R_3PaHzWPYosn7jmJ : I am fortunate to live in an area with a healthy and open attitude on the comparative to sexuality. Likewise the geographic location has provided me ample public utilities allowing me to attend meetings with other queer people.
2,0.25%,"all_R_1hYZIo8NApd46fm : Living on Bainbridge Island helps me in terms of having a safe, beautiful place to live. I recently moved here and have no friends, which has been a burden on my mental health."
3,0.20%,all_R_aY9iVQBTuen7qzn : My location is a middle class area with easy connections to my friends and to facilities I need to live successfully and healthily.
4,0.52%,"all_R_2CTjdiePthGM0pv : I live in a small town and graduated high school having known a majority of the class since Kindergarten. We are financially inbetween poor and middle class. I'm the youngest so my parents are older, so we're not really friends and they can rarely hear me. Decent neighborhood, generally quiet. Only like 2 out of 6 neighbors. Like 1/6 mile from a corn/soybean field. Like 1 mile from the lake."
5,0.38%,"all_R_3MRR2thOEEBMaCM : The college I go to has free and confidential counseling services, which I have used and these have helped me with my mental health and interpersonal relationships. If I did not have these resources freely available I would likely never have attended counseling and been worse off."
6,0.33%,all_R_2dQ2vhdxRyQxTlW : I live in a wealthy upper middle class town; so money has never been an issue for me. I live in a safe neighbor hood and have never felt like I was ever in danger. I have great health insurance and can afford appointments with my doctor.
07-Aug,0.26%,"all_R_1jZhzjpTJSSVgCH : With my current location, I spend less time on commute. I have access to the park. Population density is low. It has a lot of open space, I can see the sky. I am happy with this place."
9,0.38%,all_R_rkVp6NDeK2uNgQ1 : I live in a rich neighbourhood so people have high incomes where I live even though my parents don't make enough money. living in this area makes me form good relationships with people doing stuff with their lives and form good connections as well as provide myself with safety .
10,0.14%,all_R_ZytKl3fAVrQejmx : My location improves my health by having a gym and access to various groccery stores
11,0.39%,"all_R_2VEZenjDZkh9D26 : I had recently moved to this place, though geographically, I find that this location helps my safety much more as it is a quite community. Everyone here is quite close, and they look out for each other, therefore the safety here is much more conventional than the location I was at before."
12,0.16%,all_R_p3JuzV1y6hOokTf : There are lots of trees with good environment and I can ride bike or go for a walk with my partner.
13,0.35%,all_R_3k19H7eGKk1gTND : My location impacts my safety as it is always a highly populated area so there is people around at all times. My health is affected in a positive way as there is many natural areas that make gives me a break away from the city life and makes me feel calm
14,0.15%,all_R_2tApJRgBtcN1CFT : The geographic location I live in is a pretty quite neighborhood so I do feel safe walking outside
15,0.32%,all_R_V3aMEDtWOoJTOBr : I have optimal access to resources and my own space in my home. I feel safe in my hometown and neighbourhood. This may impact my mental well-being in a positive manner as compared to someone who is stressed about their own safety.
16,0.14%,all_R_1DCrm2JyNUEC9xh : I lived in a peaceful place and my family create a good growing environment for me.
17,0.29%,"all_R_1OK0hjgBwZiBmKl : My location has really helped me live my life to the fullest with lots of freedom and opportunities. I am thankful to have a shelter, family access to health care and a right to education all due to my location."
