ref,coverage,content
1,0.51%,all_R_3gOE7Fnzuayslcg : I am about to move to rural Alaska for a new attorney position with the Public Defender Agency. I'm really excited about the job and starting a new professional life. But I am very nervous about opportunities for living openly and actively gay in a small town 400 miles from the road system. My responses are likely to change from the ones made now while living in Northern California.
2,0.14%,all_R_21bm8kIE9ZD3bc6 : Conservative state makes me fearful of the reaction from strangers learning I'm gay
3,0.07%,My location is a middle class area with easy connections
4,0.40%,"all_R_24GHrSkTv1hj6yl : My city is pretty liberal, especially considering it's in a conservative state. I don't feel safe being out as trans but I also prefer being stealth for other reasons. I had some trouble finding a therapist that wasn't faith-based but there are a few doctors in my area that specialize in trans care."
05-Jul,0.70%,"all_R_2VDyn1a4IXjaZ8h : I live in what is known as the ""Bible belt"". While I'm open to who people are I can say I have rarely experienced the same. My mother knows I'm bi and pretends I'm not to the point of being openly homophobic around me. My husband had a hard time with accepting me when I came out and my kids still don't know. I know for a fact after watching how my extended family and church reacted when my aunt came out that I would be disowned, shunned, and I would have to fear my immediate family as well as my in-laws trying to take my kids away."
8,0.52%,"all_R_3k5JOJoboDVAcia : I live right between, nearly on the border of, two very different cities. The capital city is more pleasant and more accepting, whereas the one west of me is a lot more conservative and it's terrifying. I don't always pass, and I've definitely had a lot of older people from that town closely inspect my face. Luckily I have grown some facial hair at this point. It's very anxiety inducing."
9,0.46%,all_R_9vjNJRzxXN7AdAl : The region is in part gilded in that it wants others to think it is great but then internally clings to discrimination. Other areas just outright embrace their bigotry which is easier to deal with (while the former has a gaslit feel). Things have also gotten exponentially worse since the 2016 election and I am worried for the future as a result.
10,0.63%,"all_R_zfd1ZUGPLx1bCoN : I believe that since I come from a working-class community that most of the people around me have similar issues. I feel safe in my current location because I am familiar with my community members. I do think that since a lot of people in my location are immigrants, that it may be difficult to be gay. Since a lot of these individuals come from countries where not being heterosexual is a sin, or a crime. In regards to that, I can see how someone may feel unsafe or uncomfortable."
11-Dec,0.92%,"all_R_3KGwl1gjeOIiOqq : I live in a very conservative town, and having a girlfriend of a different race (not caucasian) would most definitely impact my life. My health nor safety would be impacted, but people would definitely question why I chose a girl of colour as my partner. Growing up mixed (half German and half Japanese) impacted my mental health as a kid, as kids would bully me for my differences. So unfortunately, I would expect some sort of backlash from the community that I live in if I dated a girl of different ethnic background. Thankfully, my town is growing more open, and I can definitely see a change in the near future, but as of right now I feel like there is still racism and prejudice amongst the people of my town."
13,0.45%,"all_R_1IdeVMGFrH5cVxG : My hometown is very safe when it comes to physical health. It's a small town; therefore, there are not many places to go for mental health help. Especially for minorities. For a teenager, who is a person of colour, everything feels predominantly white. The ostracizing doesn't come from peers but mostly adults (specifically teachers)."
14 - 16,1.28%,"all_R_21jlpjStavIpmFQ : Relatively speaking I live in a good location, in a good house. We are good in money and such. We are close to a pharmacy and have access to other health resources. Being that I am heterosexual and cisgender I don't experience any discrimination in that regard. While I am an immigrant I came here as a baby so it does not affect me too much if I were not able to talk English or have had an accent. The only experience I had where this was an issue was when I was younger where I would be teased for being Chinese and Korean at school and with strangers where kids would point out I'm Chinese. In more recent events I was insulted at a bus stop because I would not give a man money so he called me fucking immigrant. That being said my relative relationships with people are not too affected due to my sexual orientation or sexual identity. Where I am located, mental health is widely embraced and is rarely ridiculed. And probably the biggest issue I face is being Filipino, but even then it is not too bad."
17,0.20%,"all_R_3MQYsljE6efyxOV : As an immigrant, I sometimes feel there is no help by things around me but living with my family keeps me being healthy and stable."
18,0.16%,"all_R_2CTJEXbT4SBVda5 : My location has greatly impacted my well being in a good way, my location made me feel safe and accepted."
19,0.19%,all_R_3eh1blL2Eamqzio : My location is a very multi cultural and accepting neighbourhood. It is also safe and I have never had to fear being myself here.
20 - 21,0.56%,"all_R_1ltphs8Yqe84p45 : I'm certainly grateful for being able to live with my sexual orientation being out and accepted. I feel like I don't have the same opportunities as other people in my society because support for my physical and mental disabilities is so meager. I feel like I'm missing out on life. Generally I feel safe, even if the police refused to take any action against my neighbour who threatened to kill me due to my sexual orientation."
22,0.59%,"all_R_2ZKZpUSuL7rxvQ6 : I am a straight African American woman, I feel as though sometimes I am looked at with a suspicious light because some people assume I am going to do something devious due to my race. It's the little things like clutching on to their purses as they walk past me or putting a bag down on the seat in the bus. Although these microaggressions are not something I face every single day, they happen enough for me to notice them and feel sad about them."
23,0.44%,"all_R_1K6V93VHOiR2zf9 : The only thing I am currently aware of, is that my geographic location controls who I may encounter daily. But ultimately, I know what is meant to be in my life will. The same goes for my identities. I tend to exist at the intersection of many groups of people. With that awareness, whoever is meant to co-exist with me, will."
24,0.24%,"all_R_2YFaNeQCVyiclSw : In Rowlett Tx, I feel mostly safe! I wouldn't feel comfortable here going out openly in public with a partner though. But I am not comfortable with PDA in general."
25,0.45%,all_R_9tdshc9KzQricVj : 1. Unable or inconvenient to always meet-up with significant other (living in different towns) 2. Feel at ease and welcomed when walking around neighbourhood; feel relatively safe but still vigilant when walking alone at night 3. Tend to not share my location with others of different ethnicity that aren't my own due to fear of racism
26,0.70%,"all_R_XKYWhSSngDmF3Md : Currently, my location is keeping me safe, as a response to COVID. I am supported in most of my lifestyle choices by the laws that are in place. and i feel safe in my sexual orientation. I feel the minimum wage in my country is fair, and I have been supported by jobs in the past, enough to stay afloat, as well as have some spending money. I am overall very content with Canada, I think it is a beautiful country, and I believe it helps many cultures feel appreciated and heard. I am also able to get adequate care for my mental health."
27,0.51%,"all_R_RfQrnFLsVhm9yff : It does not have a great impact on my life at the moment, however I remain anxious about my future. There are many hardships that come with being who I am, and as of right now, I am unsure of whether I am ready or not to face them. I have a great support system that allows me to feel comfortable in my own skin, and so I feel at ease when it comes to facing obstacles as of right now."
28,1.03%,"all_R_1hB8H9XKvxuc48M : Scarborough is known in Toronto for being one of the less secure areas, however, personally, I find Sherbourne to be the Mordor of Toronto(I.E It freaks me out to go there). I don't think the air in Toronto is particularly clean. All these industrial factories are polluting the air. Relationships in Toronto are the worst. You have to be a 7/10 or higher to find a relationship without unbearable difficulty. However, Toronto still is the best environment for me considering financial supports, health supports, and overall social help. The only place I would rather live in is England. As for my identity, I'm largely a product of colonialism as arguably most people are today. Honestly, I think I have identity issues and sometimes can decide what I identify as(depending on the sort of identity."
29,0.25%,"all_R_0p3StykfZxJYzKN : Due to living in Toronto, I am pretty comfortable in my shoes. Most of the time I love all of my identities and since I live in Canada I'm pretty safe with my sexual identity."
30,0.41%,"all_R_25EY9f4LHf6RVIv : I live in a very decent location. I have lived in the same house since I was a year old, and it has always been enjoyable and safe. No crimes or violence have occurred in the area. Even as a small, black woman I don't have much fear walking my dog at night (though I remain very aware of my surroundings)."
31,0.32%,all_R_pbZK4rVoOmtevfP : My geographic location has been very close to home for my family and I. There has never been discrimination against my ethnicity up until recently. the neighbourhood is generally pretty safe with a bit of robbery here and there.
32,0.56%,"all_R_1QEDph3FTMpQj8S : Since I live in Canada, specifically Ontario, I am not as severely impacted by the COVID-19 situation. But regardless, I am still worried by constantly seeing the number of cases increase. There is definitely some blatant racism towards members of Asian and more significantly the Chinese community. I feel somewhat safe because the prime minister has given those without jobs a place to receive money through EI benefits."
33 - 35,1.47%,"all_R_xzS9fYToU82qVy1 : So I live in a neighborhood that is constantly presumed as a dangerous place but in my option, bad things happen everywhere. It's been over a year since I was almost robbed by 3 kids around my age right in front of my own house, this was a month after moving from one part of my community to another. This made me feel really unsafe because I could have died that day but I managed to get away even though these people had a knife pointed at me. The part that had me really concerned about my safety was that there were people nearby getting into a car who decided to pay no attention. After this, I walked on the opposite side of the street for months. Don't get me wrong growing up in this community was the absolute best even though we didn't enough money to do all the things kids had the opportunity to do we still made it fun. Growing up gay in a community predominately black people it was hard to come to terms with who I was because of a lot of negative stigma and bullying towards LGBTQ+ people. But as a child, I'd always look forward to the community barbeques because that's when the best of people would come out, everyone was treated like family."
36,0.22%,"all_R_2tD1QPHxWx2KcdU : I feel that living in the northeast people are more accepting and open minded about a lot of ideas, and feel very accepted for my sexuality and respected."
37,0.22%,all_R_6hBRyaRD9YjAWWJ : If born in a safe place (without war) or a place without stereotype then my life will be safer and i will be more healthy and have good relationship.
38,0.19%,all_R_2c5gmvjon59QhZ4 : I feel that living in a larger city has helped my situation a lot. I moved from a rural area that was not very lgbt+ friendly.
39,0.20%,all_R_32PaiPRj81tXS9Q : The town I grew up in restricted my ability to express myself and my gender and sexual identities as freely as I might have wished.
40,0.24%,"all_R_2067esG2pYu3xux : My location is alright, I live in a mainly Hispanic community and there are small pockets of other cultures. My safety is okay and my health too. Relationships are good."
41 - 43,0.80%,"all_R_2RPsurlEtgCe4HO : I felt that because of the neighborhood I grew up in and the kind of people around me I was never able to really be myself. Hanging out with friends of a different gender got me slut-shamed by my parents and our church in middle school and that's stuck with me ever since. Because I grew up in a very conservative, religious neighborhood I had to deal with people talking trash about people of different gender identities, sexual orientations, and races. It painted a very grim picture of the world to me. It also didn't help that not only did my parents not believe in mental illnesses but also couldn't afford therapy."
44,0.56%,"all_R_ZrWxAh3N1e6nMkN : I am in the middle of nowhere and all my friends already went home. So I'm super depressed since I know no one from Merced and nothing to do. If I was back in my home town Mountain View then I would not be having these feelings. Also, people are less open minded here so I'm not always comfortable holding my girlfriends hand in public or giving her any form of affection. I've received dirty looks when I have in the past."
45 - 46,0.33%,all_R_3FLILGH552IS5Lo : Although I am surrounded most of the time with people who support me I feel as though when I reveal that I am bisexual that support will be taken away from me and is something I will not be able to gain again once they know the truth about me.
47,0.50%,"all_R_2CIKifAoVDFxCxZ : Being at home has impacted me a lot because my family expects me to be a certain person that I don't have to be when i'm away, its hard to show your change when they have such a strong idea of who they think you are.. I am more confined and have a lot of responsibilities that can overwhelm me when I have to balance with school. I'm further away from the people I trust most."
48,0.35%,"all_R_3j8Lk9rTpWvGCfU : As someone who did not use to live in the US, I definitely think my geographic location has allowed me to feel more safe, and the open culture has allowed me to feel more comfortable with my self, and to do more than I would've done if I did not live here."
49,0.75%,"all_R_ZCWuZOWFA9G8t9f : My geographic location can be considered a safe small town, predominantly latino which makes it feel as a community. There is access to health facilities which makes it easy for people to seek medical attention if needed. The only downside would be that because it is a small town, relationships matter in the way that there are 3 or 4 high schools and most people know or have heard of each other so there's this implied ""reputation"" to uphold because things spread easily. This can be harmful in the way that if there are bad rumors being spread this can cause bullying or shaming."
50,1.71%,"all_R_1okdcrBLv1cw5Vy : I live with my immigrant parents (both residents) and my 3 siblings in a 2 bedroom, 1 bathroom duplex in a really nice neighborhood (its right next to google- keeps getting more and more gentrified). We are low income, have always been, my mom is a taco bell cook and my dad is a gardener (have always been since they got to California from Mexico which is about 20 years) but because of where we live minimum wage is good and we are in the silicon valley with really nice big houses around so my dad gets paid okay so we are not poor at least it doesn't feel like we are so much because we do a good job of blending in but our AC and our heater don't work, parents still struggle with paying rent every month but somehow manage- me and my older brother used to work before quarantine, my little brothers still get reduced lunch and free bus passes, and I've managed to get really good scholarships from the high school I went to because it was a really rich predominantly white high school and there were very good chances of winning these scholarships especially because of im a minority and low income who wanted to go to college. In some of my answers, I reported feeling sad and depressed might have something to do with quarantine but if I recall correctly I still felt that way before just not as often probably because there were more distractions."
51,0.13%,all_R_yjCWkmvAKeKJhsJ : My location impacts my ability to come out to people and by my true self.
52,0.25%,all_R_Y3lPxuZB4tDH3Xz : My location is known for housing very racist and/or heavily conservative people. This causes me to have little access to acceptable mental health services/ police protection/ etc
1,0.08%,zero_R_r2bjCCAWqM7YccV : I have a good family upbringing.
2,0.18%,"zero_R_2BkUUZBpGv7ndSa : I think growing up where I did sheltered me a bit, but living so close to Champaign it was very diverse."
3,0.28%,zero_R_2YlXYAK20q2D5WJ : being at school away from home it helps me to find who I am as a person. I am finally on my own which allows me to be who I am and find my path without anyone interfering.
4,0.18%,zero_R_12KgyyEb3Kr4vlh : I'm very happy with were I've grown up and how my family has raised me up to this point of my life.
5,0.29%,zero_R_1Ksi2EGTmLkx90L : I feel that the location I grew up in has helped me in overcoming my issues because I do not come from a wealthy city or town but a place that has to work for what they want to achieve.
6,0.22%,zero_R_2qyhl1XOCulA02d : I was fortunate enough to grow up somewhere where I di not have to worry aboutt much but gaining an education and creating relations.
07-Aug,0.77%,"zero_R_3Mz0cDPMpYXDnwl : My place of residence influences me in the way that I can be free, geographically but also as a person. I can go anywhere without limits, I can develop freely, I can enjoy nature. I can ride my bike alone at three o&amp;#39;clock in the morning without fear. My place of residence allows me to have many relationships and to be healthy. Mentally, because I can go to the sea or the forest, geographically, because I can see a doctor when I&amp;#39;m sick. My place of residence is part of my identity and often makes me feel good."
9,0.52%,"zero_R_3KwNIU6DYlIvZwl : My place of residence is freedom for me (I lived very remote as a child). Close to the city center, access to all shops for daily needs, everything is within walking distance. I meet friends more often and go partying more often because it is no longer difficult (how do I get home?). However, I used to be sick less often in the country than I am now."
10,0.67%,"zero_R_2ctHkomWPrsiwtp : My place of residence is still relatively new to me (moved in 6 months ago). There was something liberating, if at times frightening, about moving out of my parents&amp;#39; house. All in all, it wasn&amp;#39;t difficult for me to leave my hometown. In Leipzig I feel very well and at home now. I live in a shared apartment with 3 flatmates, it took me a while to get used to, but now I get on very well with them and I&amp;#39;m happy to see them again."
11,0.32%,"all_R_2PBWkL2ebpWp4GE : Carbondale is my current home but I am originally from Chicago. The culture here is much more conserved than Chicago's, which is taking some major adaptations to my mental health and the way I move daily."
12,0.29%,"all_R_3hrQrVYqbpvibK8 : I think college is stressing me out, but making me stronger at the same time. I am forced to be more independent, self-aware, and having to work 10 times harder than I did before."
13,0.13%,all_R_TqswRDm627ptGed : My location impacts me because it helped me become who I am today.
14,0.13%,all_R_3LiJ2a6EAglNh85 : The environment I grew up in shaped me into the person I am today.
15 - 17,0.20%,"all_R_3hzt3PzIJtINitl : Living in a rural area, I feel it is less acceptable to be openly queer. I am safe but I bet some people are not."
