ref,coverage,content
1,5.00%,I believe my location has led to a false sense of saftey as I still live in the town I go to college in.
2,5.33%,Therefor I feel as if I have not truly been exposed to life outside of the familiarity of common home comforts.
03-Apr,9.95%,zero_R_1QhnLetYE70bETh : The location in which I live has low crime so I feel safe most of the time. My parents are divorced but my home life is good. My family provides me with all I could possibly need.
5,2.59%,My location did slightly make me worried for my safety
06-Aug,4.47%,all_R_3pmZN1RKza1D0qv : My location is rather safe. There is minimal criminal activity.
09-Oct,15.62%,all_R_1JOufmMVNwNU95U : My location makes me feel safe and feel like I have resources every where. If there is something that I need then all I have to do it ask or figure something out. My health is good and all my friendship are pretty great. My relationship with my family is still strong even though I'm not with them.
1,0.11%,"Living on Bainbridge Island helps me in terms of having a safe, beautiful place to live"
2,0.65%,"all_R_2xVRkkm8EMNghKy : I live in an academic environment where the focus is almost always on education. This it's difficult to cultivate strong interpersonal relationships, but not impossible. With regard to mental health, it's also difficult to physically find a confidant. There are hardly any professional psychiatrists around, and the greater population here knows little or nothing about mental health. There are thieves and robbers, but of course I try to avoid trouble by staying safe and ensuring my security."
3,0.33%,all_R_2dQ2vhdxRyQxTlW : I live in a wealthy upper middle class town; so money has never been an issue for me. I live in a safe neighbor hood and have never felt like I was ever in danger. I have great health insurance and can afford appointments with my doctor.
04-May,0.36%,all_R_3HULPrQ4HDzgGPF : My location is fairly open to new ideas. The area I live in is more modernized and newer when compared to other locations. This helps with me being more open to who I am and am not afraid to express my feelings. My safety is fairly secured as there is not much crimes.
6,0.11%,all_R_1QDCjlM6QIAvxwq : safe geographic location makes me less concerned about safety
7,0.63%,"all_R_zfd1ZUGPLx1bCoN : I believe that since I come from a working-class community that most of the people around me have similar issues. I feel safe in my current location because I am familiar with my community members. I do think that since a lot of people in my location are immigrants, that it may be difficult to be gay. Since a lot of these individuals come from countries where not being heterosexual is a sin, or a crime. In regards to that, I can see how someone may feel unsafe or uncomfortable."
8,0.38%,all_R_rkVp6NDeK2uNgQ1 : I live in a rich neighbourhood so people have high incomes where I live even though my parents don't make enough money. living in this area makes me form good relationships with people doing stuff with their lives and form good connections as well as provide myself with safety .
9,0.46%,"all_R_1jAJPKIevf6L3Yt : The location I live in is very open and is very safe. It has friendly neighbors and is also a diverse neighborhood. I do find it easy to go for walks and hang out with some of my neighbors constantly which helps with my mental health and helps me develop more relationships. However, it's the other stuff revolving my life that can impact my health."
10,0.06%,all_R_ebpQl7Otyr43ry1 : My location is safe.
11,0.16%,all_R_1lcQQIEf0Uz3ZTn : North Oshawa is close to southern oshawa where lots of crime occurs which at times can cause some anxiety
Dec-13,0.63%,"all_R_2TBmaslYnnwYzpp : My geographic location is a place where crime does arise but my neighbourhood itself does not implicate with crime, therefore, I feel safe most of the time and do not feel as if I am in danger when I walk my dog at night. I do withhold relationships with my neighbours due to the fact that they are very loving and caring and I have lived in the same neighbourhood for the majority of my life and would comfortable asking my neighbours for help if I did have contact with my own family."
14,0.39%,"all_R_2VEZenjDZkh9D26 : I had recently moved to this place, though geographically, I find that this location helps my safety much more as it is a quite community. Everyone here is quite close, and they look out for each other, therefore the safety here is much more conventional than the location I was at before."
15,0.20%,all_R_BL1v6fns1lOoWeB : My location gives me a sense of security on things such as health and relationships. I also feel safe in my location most of the time.
16,0.42%,all_R_qVdWBMLWIV1uTzr : The location I live in is a very safe and friendly environment. This impacts me as an individual because I feel free and aware enough to try and experience new things around my house. They are several things built in my location in which my friends and I can experience as well and I am safe and close to home.
17,0.28%,"all_R_1LIFmuNYb40mOsE : My location is closed to both my home and school. Shorter distance can keep my safety if I go back home after school in midnight. There are also lots of walk-in clinic, including school health center."
