item_1,item_2
,
Reference 1 - 0.19% Coverage,
,
all_R_33g4RcoV7jlcbTe    :,I have A LOT of privilege living where I live. It is a safe neighborhood. I also feel like I have a lot of privilege in that both my partner and I can work from home.
,
Reference 2 - 0.25% Coverage,
,
all_R_AuKUQZyXdC9C5RD    :,"My situation is unique in a few eays. I am privileged not to have to worry about housing, and I live in a safe area, so even though I have very little money, I feel more secure than most people in my financial situation."
,
Reference 3 - 2.86% Coverage,
,
all_R_3qNJFXcpF4ypx4n    :,"Please consider that some of the phrasing of the survey and the image used to present the survey (the map filled with flags and other images) are somewhat problematic and offensive. For a group studying minority status as an impact in mental health, both your phrasing of minority issues and mental health issues is concerning. The phrasing ""Mentally unwell"" and ""Emotional disabled"" were confusing and don't really describe anything in particular. Would a person with an emotional illness, like Bipolar Disorder, be considered ""mentally unwell"" AND ""emotionally disabled?"" BPD is a disability under the DSM V, but I imagine may would ""self-identify"" as ""mentally unwell."" It just wasn't clear to me. Another offensive question was the one about suicide attempts. It came out of nowhere, and is likely triggering for a number of participants/potential participants. There was no warning in the consent form before the survey to talk about those issues, and no questions about a history of self-harm, or other examples of ways mental illness presents itself physically (e.g. eating disorders). Additionally on the long form page about family/friends/co-workers and whether sexual orientation is visible, two or three of the options were off the page and not even clickable. So I wanted to put N/A for some of them and simply could not. Your survey also seemed to teeter between focusing on Sexual Orientation and/or Gender Identity as minorities, and Racial and/or Ethnic Identity. Those are two very large and complex areas of research on their own (as four, independent areas of research). I feel very strongly, as an academic myself completing research currently on Critical Race Theory, that you are not gaining anything of actual substance from the survey you've launched. Overall your language and imagery is questionable at best for a group of academics, and I'm disappointed. You may want to add some trigger warning(s) to the consent page. Also you may want to add to your consent page that this survey is not IRB Approved. If it were, you would have stated it.   Now to answer this actual question: As a multiracial, multiethnic, Cis-Hetero woman, I feel location plays an overt role in my relationships and my access to resources. The ability to be as educated as I am is a privilege, and places me in a socio-economic class that also directly impacts the same. Living in Connecticut, there is an abundance of wealth and a higher standard of living than where I grew up in the South. I feel much safer here than in some of the urban areas I've lived in the past, and I feel racism, sexism, and homophobia are far less common here in New England than they were in the South. That isn't to say it doesn't all exist, because it does. It is just much less blatant in the North East than it is in the South."
,
Reference 4 - 0.73% Coverage,
,
all_R_3k0NqZ04ofivcRe    :,"Living in Britain and being a university student in an accepting department as an queer immigrant with depression and anxiety is definitely helping me feel supported compared to my peers in other parts of the world (America and Romania). I'm also middle class and both my parents have an annual income of &gt;?œ100k so I have medical insurance and can access private therapy at any time and buy medication when I need it. The greatest support has always come from my academic departments (my sixth form high school, university) who accommodate for mental illness and go the extra mile to meet my needs. The NHS long waiting times did lead to a suicide attempt and the counselling provided did not help."
,
Reference 5 - 0.22% Coverage,
,
all_R_2QM6fP9JgWMa399    :,"I feel very safe being queer and non-binary in Portland, Oregon. As soon as I leave Portland it definitely feels less safe. I also am white and a therapist - both grant me immense privilege."
,
Reference 6 - 0.14% Coverage,
,
all_R_247eDSlbKYVyPrU    :,I have good access to universal healthcare and am backed up for any sickness from work due to depression by the law
,
Reference 7 - 0.55% Coverage,
,
all_R_eVUFaK9JHRM0O8p    :,"I think that some of my rankings may seem inconsistent in the sense that I have a high quality of life, I think, but overall struggle with sadness, depression, anxiety, etc. Part of this is because I left an abusive relationship and am still reeling / recovering from that. I am lucky in the sense that I have the finances to support all of my ""new"" mental health needs, but part of the reason I was trapped was because I didn't always have the resources to support what I needed to escape and recover from the fallout."
,
Reference 8 - 0.40% Coverage,
,
