item_1,item_2
,
References 1-2 - 0.21% Coverage,
,
all_R_1NziVgdjPj5rzcN    :,"I think living in an area where resources are scarce and opportunities are hard to find, it gives me motivation to work harder and strive to do better and be better for my family."
,
References 3-4 - 0.17% Coverage,
,
all_R_1Ehg36ZWnBSgHEB    :,where i live there is little access to mental and/or physical healthcare and living situations are also very expensive and hard to afford
,
References 5-6 - 0.40% Coverage,
,
all_R_1jquq6iRqoSqQNa    :,"I live in Coachella, Ca where there are no reasons other than cold in the winter and hot the majority of the year with temperatures staying around 100 degrees and topping at 120 degrees, so the heat is more dangerous than the people that live here since my community is more of a retirement community. My valley's health isn't the best due to insurance inaccessibility."
,
References 7-8 - 0.23% Coverage,
,
all_R_TvDTyAx6b7FpMBj    :,"I live in a very small, conservative, farming community with limited resources. I frequently feel very isolated from other members of the LGBTQ+ community and other like-minded peers because of this"
,
References 9-10 - 0.47% Coverage,
,
all_R_29ph7etxLTn2MTe    :,"I live in a safe, mostly residential neighborhood. It is somewhat difficult to access groceries and fresh food. I do not personally know any of my neighbors. I am a young, White, cis woman-passing person, and I'm occasionally uncomfortable living close to a police precinct. I occasionally face street harassment when walking to the train or around the neighborhood, but I rarely fear for my physical safety when out alone or at night."
,
Reference 11 - 0.10% Coverage,
,
all_R_3MsMq3vbVMlDFVP    :,I have decent access to healthcare living in a city but it's not affordable
,
Reference 12 - 0.35% Coverage,
,
all_R_3MicNPX74jffxzx    :,My current location is at best poor for me in terms of being able to access a gender clinic (for starting hormone replacement therapy potentially) but I have the privilege of being able to pass as a cis woman to people generally and my location is tolerating of my identity should I not pass as well on a certain day
,
Reference 13 - 0.24% Coverage,
,
all_R_2aGXpjC0XQBP0Pv    :,"The United States does not care about my health. I am Queer and of Mexican/Jewish descent. They do not give a damn about me, and Trump is allowing doctors not to treat me if I get COVID-19 because I am transgender."
,
Reference 14 - 0.85% Coverage,
,
all_R_SICoju41jYsZE9b    :,"I live in the south and it hasnƒ??t exactly been easy. Though I currently live in a more open minded part of our city, I had to leave my old job because of harassment after I came out on Facebook. I wasnƒ??t fired, but the harassment was poorly handled enough that I no longer felt like I could stay on. I was lucky enough to have something else lined up, but itƒ??s still been difficult. If I didnƒ??t live with a partner right now I would probably be homeless or in danger of being homeless. I was booted off of my momƒ??s insurance and although I desperately need mental health care (I have PTSD, GAD, and depression) I canƒ??t afford it and access has been especially difficult with everything else going on. I donƒ??t know what things are like elsewhere but it definitely doesnƒ??t help to live in a southern state."
,
Reference 15 - 0.73% Coverage,
,
all_R_3k0NqZ04ofivcRe    :,"Living in Britain and being a university student in an accepting department as an queer immigrant with depression and anxiety is definitely helping me feel supported compared to my peers in other parts of the world (America and Romania). I'm also middle class and both my parents have an annual income of &gt;?œ100k so I have medical insurance and can access private therapy at any time and buy medication when I need it. The greatest support has always come from my academic departments (my sixth form high school, university) who accommodate for mental illness and go the extra mile to meet my needs. The NHS long waiting times did lead to a suicide attempt and the counselling provided did not help."
,
References 16-17 - 0.28% Coverage,
,
all_R_2dNpDs2EV5xhlts    :,"I dont live in a place with easy or affordable access to LGBTQ healthcare or anything, so I havent been able to start medical transition yet or anything. I'm not out in a lot of places because of that because I worry about not passing and being unsafe"
,
Reference 18 - 0.55% Coverage,
,
all_R_eVUFaK9JHRM0O8p    :,"I think that some of my rankings may seem inconsistent in the sense that I have a high quality of life, I think, but overall struggle with sadness, depression, anxiety, etc. Part of this is because I left an abusive relationship and am still reeling / recovering from that. I am lucky in the sense that I have the finances to support all of my ""new"" mental health needs, but part of the reason I was trapped was because I didn't always have the resources to support what I needed to escape and recover from the fallout."
,
Reference 19 - 0.38% Coverage,
,
all_R_2S7gCCumj5zQOF7    :,Living in Missouri limits my access to healthcare (because they refuse to expand medicare - we had health insurance through my wife's work but she is now unemployed). It also is a detriment to my mental health in that the surrounding community is largely hostile toward queer people and our lawmakers make frequent attempts to limit our legal rights.
,
Reference 20 - 0.55% Coverage,
,
all_R_3F3xxoNgCgb9hwl    :,"I am in an overwhelmingly accepting location geographically, even if at times it seems like people are just doing lip service. Sometimes I think that can be just as harmful, but I've never been bothered for using a restroom and have mostly always received support (or at the very least never had anyone react negatively) when I do mention my gender or sexuality. For mental health and access to trans related services, obviously living in the USA is not idea no matter your location with the expense of health care."
,
Reference 21 - 0.17% Coverage,
,
all_R_bfsSd9GyGOuIY37    :,"In my location, there is not Center of Excellence Hospital close. I have to travel from Odessa to Houston for cancer treatment/appointments."
,
Reference 22 - 0.39% Coverage,
,
all_R_1SlZMhMWxgEwGFr    :,"Living in north Texas with no transportation is a close to impossible scenario for anyone existing on the spectrum. These communities are often very conservative, heavily invested in institutionalized racism and discrimination, with zero infrastructure in place to help those identifying with normative paradigm. Living here is a nightmare for someone like me."
,
Reference 23 - 1.91% Coverage,
,
all_R_2eXBZZiMB0KLL6F    :,"Im an FTM transgender who live in the less open minded side of israel. I rarely go out of home and stuck with no job for 2 years now. My mother is my emotional support and is the sole reason i havent killed myself yet. I do have a circle of friends who are like a family to me but they live far away(in the tlv region which is 3 hours away on publoc transport.) My health is bad because i have mental issues and born physical issues (i am facing with weak immune system severe allergies to common things and I have endometryosis, which is basically my female reproductive internal organ slowly killing me, at least thats how it feels), whenever i end up in ER *sometimes* doctors refuse to take me in because of my transgenderism. So whenever im ill i prefer not to face any unfamiliar doctors. Tbh i used to work in sales and was assulted, and even though i filed a charge no one did anything,  Since than im kind of really scared of people.  So even though israel is really accepting the gay/lesbian theres still a long way with transgenders that no one talks about. Since i mpved back with my parents to my old hometown after the assult no one hires me (worked in tlv previously), and lately i feel hopless when it comes to standing on my own. I have my friends and i have a band which i hold onto dearly. But thats it. I cant see myself getting a proper job bec ill always have to face strangrs. And im terrified. Its been 2 years and i cant face my fears yet.israel claim to be the 'wokest' country in the middle east but thats a huge bluff. The gov is fine but the people themself. Theres still the harsh middle eastern brutal mentality, that you cant escape  . I often think that there might be a good place for people like me, i often dream of canada, but i know, thats just it. A dream. Im sure thats also illusion. And that theres no really safe space anywhere ."
,
References 24-25 - 0.37% Coverage,
,
all_R_3JxvrQO5Nac2T0T    :,"I live in a very Mormon region, and come from a very Mormon family and heritage.  Mormonism does not recognize trans peopleƒ??s identities and they openly pathologies non-heterosexuality.  That deeply impacts the perspectives of my local community, family, local laws, and my access to adequate medical care, especially mental health care."
,
Reference 26 - 0.51% Coverage,
,
all_R_2zG7zIBH80uWZ9C    :,"My location isnt exactly open to transgender people but I do not face an hostility either. My biggest set back in my happiness, in my development as a woman is the fact that the mother of my children currently lives with us even though we are no longer together. It has created a hostile home life. Yet I do have a really good support network other than that. The lack of trans related healthcare through my workplace is the only other cause of stress in my life. Overall I am lucky."
,
Reference 27 - 0.17% Coverage,
,
all_R_31pkKT7E45id1xO    :,our location is ok. Isolating sometimes. Everything i need for like health seems very far away so sometimes not worth the effort to go to or get.
,
References 28-29 - 0.95% Coverage,
,
all_R_wOa1YKmNZsi5uIp    :,"Job security is pretty minimal here which terrifies me. We've been trying to move, but everywhere is even more expensive than what we're paying now and we're struggling to save up as almost nothing is left after bills are paid.  Crime rate is pretty low and I rarely feel targeted racially as the population mostly seems Hispanic and white, and I get assumed to be Hispanic quite often. Disability access is so-so which is discouraging because there are a lot of places I can't go if I need my chair that day. Transportation is miserable. 100% need a car unless going on the Metra (train), but then you would need a car anywhere except Chicago. Suburbia here is really isolating. I don't have local friends because I'm unable to go places to meet people or hang out with anyone I do meet. My mental health has gotten way worse, and there are very few resources I am able to utilize either due to transportation or cost."
,
Reference 30 - 0.19% Coverage,
,
all_R_25WlEqr1nDsHgLA    :,"I live in between Philadelphia and New York City. Although I have medicaid and a good doctor, I am afraid of healthcare disparities that trans people experience."
,
Reference 31 - 0.69% Coverage,
,
all_R_3oU7Q5HySwZzMN2    :,"I live in a predominantly conservative town/county, and I am a progressive, leftist individual.  While mental health is preached about in government, realistically there are very few resources accessible and appropriate for me, and ever fewer available that would feel appropriate for minorities.  I am relatively safe, compared to other countries - and definitely safe compared to minorities within this area.  There is healthcare easily accessible (normally, right now during the pandemic things are limited) While altogether I am safe, and able to access some resources, this is an area where mental health issues are viewed as nonsense by the general public."
,
Reference 32 - 0.70% Coverage,
,
all_R_2PALNgs7ZhX8EjP    :,"I am physically isolated from my peer groups, particularly my queer and jewish peers, because I live in a rural and conservative community. Even before quarantine I rarely got to see other queer or Jewish people in person. The trans support group I participate in is a 45 minute drive from my house, and I haven't belonged  to a Jewish congregation since our family synagogue dissolved ten years ago. I am lucky in that my small rural town has a medical specialist who i can see for my chronic illness. Most of my friends live at least 20 minutes away; my romantic partner lives an hour away and that makes it difficult to see them outside of planned dates/outings."
,
Reference 33 - 0.34% Coverage,
,
all_R_2tFNj549GhYW1dg    :,"This area is a desert for quality jobs but the cost of living is climbing quickly. Education, healthcare, and opportunity are sub-par. Persistent cultural and institutional racism, abti-LGBTQ+ sentiment, and sexism limits the opportunity for people here. This drives a lot of my feelings of anxiety for my future."
,
Reference 34 - 0.19% Coverage,
,
all_R_6xwByMsgODSPjbj    :,"Being in the Midwest, there are very few resources in my area for LGBTQ+ people, and I have experienced homophobia in the form of online harassment at my high school."
,
Reference 35 - 0.66% Coverage,
,
all_R_3GoYwNsBs4E7i5H    :,"I'm the caretaker of my mother, and we live in a house that is close to eviction. The area we live in is a tight-knit community, although we aren't familliar with most of the people.   With limited transportation, lack of funds and a lack of a medical card that won't expire in a year, I am unable to seek therapy and get extensively treated for my existing health conditions.   Being a caretaker is stressful on its own, but I need taken care of as well. My boyfriend who also lives with us, tries his best to keep me grounded but sometimes isn't enough. I have other people I can lean on, but it isn't a long-term solution."
,
Reference 36 - 0.35% Coverage,
,
all_R_1K7pXTShU5x84fr    :,"Where I live gender dysphoria and the treatments associated with it are considered ""elective"" which makes paying for them more difficult. The worse my dysphoria gets the worse my depression is, the harder it is to get up everyday. I don't socialize outside of work or family because my dysphoria makes it a nightmare."
,
Reference 37 - 0.36% Coverage,
,
all_R_2zYIUQphxS56xEx    :,Being transgender is not something talked about or helped with where Iƒ??m from. 1 support group in a maybe 3 county area. Not a lot of jobs with benefits that would help this either. My sort of relationship would be extremely frowned upon if people knew. Iƒ??m not sure if this is what is meant but this is what I came up with.
,
Reference 38 - 0.07% Coverage,
,
all_R_3Ht4S5fd205TVuo    :,It's incredibly had to find adequate care.
,
Reference 39 - 0.07% Coverage,
,
all_R_1lcqqj3TGoK1gNI    :,minimal lesbian support for my age group
,
Reference 40 - 1.10% Coverage,
,
all_R_3IYP3tbY5m3sIR2    :,"I live better in Ukraine than in Germany. I have a good apartment here, a good job, am self-efficacious and effective for others, and make more money. Because of the pandemic, I&amp;#39;m afraid to go to Dtl. To have to go back and lose my job here. In Dtl. I lived in a dark, small bunker, was unemployed or precariously employed for a long time, depressed, and don&amp;#39;t feel at home in society. In Dtl. I think it is unlikely that I will find a job with which, despite my health problems, I earn enough money to afford a standard of living similar to that here. What has hit my mood in the last few days is actually the uncertainty of the current world situation and the fear of leaving and having to leave my life here and not getting it back. As a chronically ill person, I am even more afraid for my health, because the health system here is worse than in Germany. and completely non-transparent to me. That&amp;#39;s why I&amp;#39;m going to Dtl. In the next one or two weeks. return. But I really don&amp;#39;t want it, the whole idea is alien to me."
,
Reference 41 - 0.30% Coverage,
,
all_R_QfZ3bmLj5u8GEzD    :,"Lack of doctors burdened (a psychologist and gynecologist would be necessary for me), I feel comfortable and relatively safe in my living environment (in any case safer than before I moved to this city), my new place of residence has had a positive effect on my mental health"
,
Reference 42 - 0.22% Coverage,
,
all_R_1DD9wbU1tDNOwmZ    :,We are surrounded by forests and meadows in the Palatinate. Unfortunately no local supply Therefor the best local transport supply. We live very quietly but only 15 minutes to the theater
,
Reference 43 - 0.33% Coverage,
,
all_R_beaUTKovfG5wWhr    :,"I feel safe. Sometimes safe. Relations with the family partly close (same house) partly very far away (Thuringia, Saxony). Relationships with friends only in neighboring towns, not accessible on foot. Shops can be reached on foot, doctors and university can only be reached by public transport or car."
,
References 44-45 - 0.20% Coverage,
,
all_R_22P5GCpN2bHSWw8    :,"Security is given due to the rural location, general practitioners and physiotherapists on site, as well as grocery stores ? ? PNV are available but not very pronounced"
,
<Files\\Qualitative Responses - Cory> - ? 8 references coded  [2.84% Coverage],
,
Reference 1 - 0.65% Coverage,
,
all_R_2xVRkkm8EMNghKy    :,"I live in an academic environment where the focus is almost always on education. This it's difficult to cultivate strong interpersonal relationships, but not impossible.  With regard to mental health, it's also difficult to physically find a confidant. There are hardly any professional psychiatrists around, and the greater population here knows little or nothing about mental health. There are thieves and robbers, but of course I try to avoid trouble by staying safe and ensuring my security."
,
Reference 2 - 0.40% Coverage,
,
all_R_24GHrSkTv1hj6yl    :,"My city is pretty liberal, especially considering it's in a conservative state. I don't feel safe being out as trans but I also prefer being stealth for other reasons. I had some trouble finding a therapist that wasn't faith-based but there are a few doctors in my area that specialize in trans care."
,
References 3-4 - 0.52% Coverage,
,
all_R_WlpXM01TY9lFA65    :,"I live in southern New Hampshire, and there are very few qualified therapists, councellors, or psychiatrists who are within a reasonable distance from me. My issues involve finding someone who is accepting of LGBT clients, since many people that I have tried have turned me away for being transgender. It is very difficult to find healthcare or mental healthcare within a reasonable distance."
,
Reference 5 - 0.26% Coverage,
,
