id,language,country_code,age,gender_code,sex_orient_code,race_code,minority_code,qual_life,resources,qual
R_1qUlFxkfNSfYkMK,EN,United States,18,Cisgender Woman,Asexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,I don't have any.
R_33wfoLnY4RFlVoX,EN,United States,19,Cisgender Woman,Heterosexual,White/European,Mentally Unwell,4,6,"My location did slightly make me worried for my safety, but it never made me worried for my health or anything else. I was raised in a pretty conservative family, but my location was filled with quite a bit of diversity and I think that helped to shape me into a more well-rounded person."
R_3ssH2JlxPJoJ8kj,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Unemployed,4,6,"my location does not have a large affect on me for identification. However, being far away from loved ones in a home town sometimes takes a toll on my emotions."
R_3pmZN1RKza1D0qv,EN,United States,18,Cisgender Woman,Bisexual,Black/African,Unemployed,6,7,My location is rather safe. There is minimal criminal activity.
R_1JOufmMVNwNU95U,EN,United States,18,Cisgender Woman,Asexual,Black/African,Low Resourced,5,6,My location makes me feel safe and feel like I have resources every where. If there is something that I need then all I have to do it ask or figure something out. My health is good and all my friendship are pretty great. My relationship with my family is still strong even though I'm not with them.
R_2QgEoxq1D9aynEw,EN,United States,18,Cisgender Woman,Heterosexual,White/European,NA,6,7,I come from a small town so things are always close knit.
R_1C2rRQ2ycLzAnu4,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Short,7,7,"I feel like I live in a healthy environment, that encourages growth and offers new opportunities.I am a healthy person and I have good relationships."
R_1N9tBoWrlY4frEz,EN,United States,18,Cisgender Woman,Heterosexual,Black/African,Unemployed,5,5,I have access to a lot of resources that a very close by
R_22CYjWRvlFWzcvz,EN,United States,18,Cisgender Woman,Bisexual,White/European,Emotionally Disabled,4,6,I think that my location heavily influenced my answers.
R_3TMnShu3hIpmjNn,EN,United States,18,Cisgender Woman,Heterosexual,Black/African,Unemployed,6,7,It is really easy to connect with resources and people from where i live.
R_3J8cgJzTAtvjNGE,EN,United States,18,Cisgender Woman,Bisexual,White/European,Unemployed,6,5,"Since I live on campus, I have a large variety of resources that I am about to take advantage of. Additionally, I live in close quarters with many people, so I am always able to reach out."
R_2wa8RoU2flrfVS0,EN,United States,18,Cisgender Man,Bisexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"The bridges just west of the towers seem like a hazard to students. There have been numerous reports of broken body parts caused solely by those bridges. Sure human error might have something to do with it, though the grade of the bridges does not help. Thanks for asking. Stay safe around those bridges."
R_1HksGwbOqLU6Je5,EN,United States,19,Cisgender Woman,Heterosexual,White/European,Emotionally Disabled,5,6,I am very far from my family and it sometimes gets really hard knowing I can't see them.
R_3HMk0gv6wvSBYYJ,EN,United States,22,Cisgender Man,Heterosexual,White/European,Unemployed,6,5,Helps me continue my friendships and helps me build new ones.
R_3ilsMHl3cZVoyB0,EN,United States,22,Cisgender Man,Heterosexual,White/European,Unemployed,6,6,helps me keep my friendships and allows me to build new ones.
R_3fDksuP0XJsPa80,EN,United States,18,Cisgender Man,Heterosexual,White/European,Unemployed,5,6,Location can determine safety because some places are sketchy.
R_129ilx52fSUUKEn,EN,United States,21,Cisgender Man,Heterosexual,Multi-Racial,Unemployed,7,7,I feel Iâ€™m from a safe environment. I can be more outgoing to success as a result.
R_2dxTM1i9IElpjS9,EN,United States,21,Cisgender Man,Heterosexual,Multi-Racial,Unemployed,7,7,"I feel my geographic location is a safe place. As a result, I feel I can be more outgoing to success."
R_2PBWkL2ebpWp4GE,EN,United States,18,Cisgender Woman,Bisexual,Latina/o/x,NA,6,4,"Carbondale is my current home but I am originally from Chicago. The culture here is much more conserved than Chicago's, which is taking some major adaptations to my mental health and the way I move daily."
R_9LBENKTOBaQRoXv,EN,United States,18,Cisgender Woman,Heterosexual,Multi-Racial,Short,6,7,"My living environment has little to do with my safety, health, and relationships. I grew up in a middle class/low-class neighborhood and was used to crime and bad things happening around. This has made me stronger in my opinion."
R_rk9Dxpc8Gzxa6uB,EN,United States,18,Cisgender Man,Gay,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,"I live in a great location, its a small town but close enough to carbondale for school and work, and close enough to St. Louis for the weekends. Living out of town does great things for my mental health, the silence and the views of the country truly inspire me daily and keep me grounded."
R_1lgVk7FTyWRDaiJ,EN,United States,19,Cisgender Woman,Heterosexual,Black/African,Religious Minority,5,7,"Well in this day in time no one wants to be in a relationship, everyone wants to be single and living their best lives. Like yolo but itâ€™s the same with sex people act like that is a hobby and thatâ€™s why diseases are going around. Safety more and more people want to do the illegal things to get ahead so we donâ€™t have a lot of safety especially when the police are just going around shooting people. No safety at all in this day in time."
R_C8fW58bHWgNbgL7,EN,United States,19,Female/Woman,Heterosexual,White/European,Unemployed,7,5,"My location is in the suburbs of Chicago. I grew up in an area where pretty much everyone is middle class. If ever did need to go to the hospital for my health the hospital was never far away. All the children in that town go to the same school so relationships with people are strong. If something bad ever did occur police, fire department, and ambulance are very quick to the scene."
R_2TNX7f5zeTisjtp,EN,United States,20,Cisgender Woman,Heterosexual,White/European,Short,5,3,"I don't feel as though my location impacts me as much as it did when I first moved here.  Moving down here for school with my best friend, we didn't know anyone else aside from some people we went to school with, we didn't really know our way around, and we just felt out of place.  After being here for a little while now, we found jobs, coworkers have become friends, we have met new people in class and made friends, and I believe my health, relationships, etc. are doing very well down here."
R_xruqnLffA0OV9L3,EN,United States,18,Cisgender Man,Heterosexual,Black/African,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,5,I feel like it's mainly affected how overall cautious and tense I tend to be in my day to day life.
R_3O7XQVa4uzv4uFr,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Physically Disabled,6,7,"I live in a small town with a numerous people addicted to different drugs and sometimes they do not make you feel the safest but I know there are people that will help if something happens. Other than that, I believe that my community has been helpful in growing to who I am today."
R_vYKe7s0zWK3J41b,EN,United States,19,Cisgender Woman,Heterosexual,Black/African,Emotionally Disabled,6,7,"My neighborhood is safe...mostly. There are gunshots, but that's a new thing. I live in an area where it used to be the white suburban area."
