id,language,country_code,age,gender_code,sex_orient_code,race_code,minority_code,qual_life,resources,qual
R_1dHn27akYEH4aia,EN,United States,19,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"Living in a rural community, I fit into an almost stereotypical role.  I am a heterosexual, caucasian male from a nice hardworking family.  My community was very small but very close.  Everyone always looked out for others.  The town I live in is not a great distance from healthcare or other necessities."
R_qL6QDXehO9Zxxlv,EN,United States,18,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,5,Being from one of the biggest cities in the country I have lots of people who i can pick and choose who to talk to
R_ONySn59ylr7GCnT,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"My location does not really influence me, I have moved many times and adapt to wherever I am. My family is my home"
R_3fSLBH3JqG7ejCo,EN,United States,19,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,I believe my location has led to a false sense of saftey as I still live in the town I go to college in.  Therefor I feel as if I have not truly been exposed to life outside of the familiarity of common home comforts.
R_1QhnLetYE70bETh,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,The location in which I live has low crime so I feel safe most of the time. My parents are divorced but my home life is good. My family provides me with all I could possibly need.
R_ZlwwLcK045XD3Hj,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,I live with three roommates and surrounded by many neighboring friends that I am very close with. It is a pretty safe area as well.
R_3J3i4bamR9nke5z,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,I live near a very established location where I am about 15 minutes from everything I need. I think it makes a big difference being close to everything that I could need on my quality of life.
R_ZdTItTqRwI2ykgx,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,6,"My location impacts my health in that the food in the cafeteria is unhealthy. Because of this, I have gained some weight. I feel pretty safe at the school. Going to school at siu has made me have more relationships with better people."
R_r2bjCCAWqM7YccV,EN,United States,21,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,I have a good family upbringing.
R_1mFunDcQrgoMpPZ,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"I chose to put my location where I lived before college because that is where my family, friends and whole support system is from. Growing up in a small community helped motivate me to accomplish my goals. I am here at Southern Illinois playing softball because of how my small community of a support system helped me through hardships."
R_3GfE6dZlLmL1IO3,EN,United States,19,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,my geographic location is very safe
